satellite,feature,mode,mdays,threshold,precision,recall,TP,FP,FN,f1,f2
Sentinel-3A,Brouwer mean motion,raw,3,0.0519,0.5556,0.625,40,32,24,0.5882,0.6098
Sentinel-3A,Brouwer mean motion,raw,5,0.0519,0.5556,0.625,40,32,24,0.5882,0.6098
Sentinel-3A,mean anomaly,raw,3,0.0122,0.1467,0.5156,33,192,31,0.2284,0.343
Sentinel-3A,mean anomaly,raw,5,0.0122,0.1644,0.5781,37,188,27,0.2561,0.3846
Sentinel-3A,eccentricity,raw,3,0.9079,0.065,0.7344,47,676,17,0.1194,0.24
Sentinel-3A,eccentricity,raw,5,1.3515,0.1148,0.5469,35,270,29,0.1897,0.3119
Fengyun-2F,Brouwer mean motion,raw,3,0.1426,0.6782,0.8806,59,28,8,0.7662,0.831
Fengyun-2F,Brouwer mean motion,raw,5,0.1426,0.6782,0.8806,59,28,8,0.7662,0.831
Fengyun-2F,mean anomaly,raw,3,1.36,0.0912,0.4925,33,329,34,0.1538,0.2619
Fengyun-2F,mean anomaly,raw,5,1.2042,0.1043,0.791,53,455,14,0.1843,0.3415
Fengyun-2F,eccentricity,raw,3,20.3851,0.3113,0.7015,47,104,20,0.4312,0.5609
Fengyun-2F,eccentricity,raw,5,22.628,0.3435,0.6716,45,86,22,0.4545,0.5639
Fengyun-2F,eccentricity,cleaned,3,20.0662,0.373,0.7015,47,79,20,0.487,0.5964
Fengyun-2F,eccentricity,cleaned,5,20.0662,0.373,0.7015,47,79,20,0.487,0.5964
Fengyun-4A,Brouwer mean motion,raw,3,0.07,0.5507,0.7755,38,31,11,0.6441,0.717
Fengyun-4A,Brouwer mean motion,raw,5,0.07,0.5652,0.7959,39,30,10,0.661,0.7358
Fengyun-4A,mean anomaly,raw,3,1.1477,0.1285,0.7551,37,251,12,0.2196,0.3822
Fengyun-4A,mean anomaly,raw,5,1.4172,0.2105,0.6531,32,120,17,0.3184,0.4598
Fengyun-4A,eccentricity,raw,3,14.9792,0.3718,0.5918,29,49,20,0.4567,0.5292
Fengyun-4A,eccentricity,raw,5,11.0071,0.2889,0.7959,39,96,10,0.4239,0.5891
